 (1, 0, 0, 0, 0, 0, 0), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6) 
 (1/2, 1/4, 1/4, 0, 1/4, -1/4, 0), (1/4, 7/40, 7/40, 1/10, 7/40, 1/40, 1/10), (1/4, 7/40, 7/40, 1/10, 7/40, 1/40, 1/10), (0, 1/10, 1/10, 1/5, 1/10, 3/10, 1/5), (1/4, 7/40, 7/40, 1/10, 7/40, 1/40, 1/10), (-1/4, 1/40, 1/40, 3/10, 1/40, 23/40, 3/10), (0, 1/10, 1/10, 1/5, 1/10, 3/10, 1/5) 
 (1/2, 1/4, 1/4, 1/4, 0, 0, -1/4), (1/4, 7/40, 7/40, 7/40, 1/10, 1/10, 1/40), (1/4, 7/40, 7/40, 7/40, 1/10, 1/10, 1/40), (1/4, 7/40, 7/40, 7/40, 1/10, 1/10, 1/40), (0, 1/10, 1/10, 1/10, 1/5, 1/5, 3/10), (0, 1/10, 1/10, 1/10, 1/5, 1/5, 3/10), (-1/4, 1/40, 1/40, 1/40, 3/10, 3/10, 23/40) 
 (1/2, 1/4, 1/4, 1/4, 0, -1/4, 0), (1/4, 7/40, 7/40, 7/40, 1/10, 1/40, 1/10), (1/4, 7/40, 7/40, 7/40, 1/10, 1/40, 1/10), (1/4, 7/40, 7/40, 7/40, 1/10, 1/40, 1/10), (0, 1/10, 1/10, 1/10, 1/5, 3/10, 1/5), (-1/4, 1/40, 1/40, 1/40, 3/10, 23/40, 3/10), (0, 1/10, 1/10, 1/10, 1/5, 3/10, 1/5) 
 (1/2, 1/4, -1/8, 1/8, 3/8, 0, -1/8), (1/4, 7/40, 1/16, 11/80, 17/80, 1/10, 1/16), (-1/8, 1/16, 11/32, 5/32, -1/32, 1/4, 11/32), (1/8, 11/80, 5/32, 23/160, 21/160, 3/20, 5/32), (3/8, 17/80, -1/32, 21/160, 47/160, 1/20, -1/32), (0, 1/10, 1/4, 3/20, 1/20, 1/5, 1/4), (-1/8, 1/16, 11/32, 5/32, -1/32, 1/4, 11/32) 
 (1/2, 1/4, 1/8, -1/8, 3/8, 0, -1/8), (1/4, 7/40, 11/80, 1/16, 17/80, 1/10, 1/16), (1/8, 11/80, 23/160, 5/32, 21/160, 3/20, 5/32), (-1/8, 1/16, 5/32, 11/32, -1/32, 1/4, 11/32), (3/8, 17/80, 21/160, -1/32, 47/160, 1/20, -1/32), (0, 1/10, 3/20, 1/4, 1/20, 1/5, 1/4), (-1/8, 1/16, 5/32, 11/32, -1/32, 1/4, 11/32) 
 (1/2, 1/4, 1/8, 3/8, 0, -1/8, -1/8), (1/4, 7/40, 11/80, 17/80, 1/10, 1/16, 1/16), (1/8, 11/80, 23/160, 21/160, 3/20, 5/32, 5/32), (3/8, 17/80, 21/160, 47/160, 1/20, -1/32, -1/32), (0, 1/10, 3/20, 1/20, 1/5, 1/4, 1/4), (-1/8, 1/16, 5/32, -1/32, 1/4, 11/32, 11/32), (-1/8, 1/16, 5/32, -1/32, 1/4, 11/32, 11/32) 
 (1/2, 1/4, -1/8, 3/8, 1/8, 0, -1/8), (1/4, 7/40, 1/16, 17/80, 11/80, 1/10, 1/16), (-1/8, 1/16, 11/32, -1/32, 5/32, 1/4, 11/32), (3/8, 17/80, -1/32, 47/160, 21/160, 1/20, -1/32), (1/8, 11/80, 5/32, 21/160, 23/160, 3/20, 5/32), (0, 1/10, 1/4, 1/20, 3/20, 1/5, 1/4), (-1/8, 1/16, 11/32, -1/32, 5/32, 1/4, 11/32) 
 (1/2, 1/4, 1/8, 3/8, -1/8, 0, -1/8), (1/4, 7/40, 11/80, 17/80, 1/16, 1/10, 1/16), (1/8, 11/80, 23/160, 21/160, 5/32, 3/20, 5/32), (3/8, 17/80, 21/160, 47/160, -1/32, 1/20, -1/32), (-1/8, 1/16, 5/32, -1/32, 11/32, 1/4, 11/32), (0, 1/10, 3/20, 1/20, 1/4, 1/5, 1/4), (-1/8, 1/16, 5/32, -1/32, 11/32, 1/4, 11/32) 
 (1/2, 1/4, 3/8, 1/8, 0, -1/8, -1/8), (1/4, 7/40, 17/80, 11/80, 1/10, 1/16, 1/16), (3/8, 17/80, 47/160, 21/160, 1/20, -1/32, -1/32), (1/8, 11/80, 21/160, 23/160, 3/20, 5/32, 5/32), (0, 1/10, 1/20, 3/20, 1/5, 1/4, 1/4), (-1/8, 1/16, -1/32, 5/32, 1/4, 11/32, 11/32), (-1/8, 1/16, -1/32, 5/32, 1/4, 11/32, 11/32) 
 (1/2, 1/4, 3/8, -1/8, 1/8, 0, -1/8), (1/4, 7/40, 17/80, 1/16, 11/80, 1/10, 1/16), (3/8, 17/80, 47/160, -1/32, 21/160, 1/20, -1/32), (-1/8, 1/16, -1/32, 11/32, 5/32, 1/4, 11/32), (1/8, 11/80, 21/160, 5/32, 23/160, 3/20, 5/32), (0, 1/10, 1/20, 1/4, 3/20, 1/5, 1/4), (-1/8, 1/16, -1/32, 11/32, 5/32, 1/4, 11/32) 
